Phylum,Class,Order,Family,Species,rotl_spp,Weapon,Citation,Study,Injured,Total,Proportion,Weapon_size,Body_size,Rel_size,Size,Allometry,Regenerate,Ram,Bias_large,Observation,Notes
Chordata,Amphibia,Anura,Hylidae,Boana curupi,Myersiohyla aromatica,Thumb spine,Candaten et al 2020,1,0,32,0,2.5,83.6,0.029904306,small,,N,,N,1,Percentage not recorded in paper but contacted authors in December 2023; they never saw individuals with broken spines
Chordata,Aves,Apodiformes,Trochilidae,Phaethornis longirostris,Phaethornis longirostris,Bill,Rico-Guevara and Araya-Salas 2015,2,1,144,0.7,1.5,4.5,0.333333333,large,1.26,Y,,N,2,Broken maxillary tip; grew back the next year; allometric slope from using WebPlotDigitizer on Supplemental Figure A5
Chordata,Aves,Galliformes,Phasianidae,Meleagris gallopavo,Meleagris gallopavo,Tarsal spur,Badyaev et al 1998,3,41,209,19.6,1.5,49,0.030612245,small,,Y,,N,3,"Spurs visibly damaged, recently broken, or heavily worn"
Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus,Aepyceros melampus,Horn,Packer 1983,4,7,125,5.6,40,51,0.784313725,large,,N,Y,N,4,
Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus buselaphus,Alcelaphus buselaphus,Horn,Packer 1983,4,1,33,3,28,98,0.285714286,small,,N,Y,N,5,
Chordata,Mammalia,Artiodactyla,Bovidae,Capra ibex,Capra ibex,Horn,Bergeron et al 2010,5,1,50,2,90,150,0.6,large,0.84,N,Y,N,6,Contacted author 30 April 2024; only remembers 1 male with broken tips out of 50
Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes taurinus,Connochaetes taurinus,Horn,Packer 1983,4,95,3371,2.8,33,94,0.35106383,large,,N,Y,N,7,
Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus lunatus,Damaliscus lunatus,Horn,Packer 1983,4,2,38,5.3,40,230,0.173913043,small,,N,Y,N,8,
Chordata,Mammalia,Artiodactyla,Bovidae,Gazella granti,Nanger granti,Horn,Packer 1983,4,1,287,0.3,31,66,0.46969697,large,,N,Y,N,9,Estimated number injured from total sample size and percentage
Chordata,Mammalia,Artiodactyla,Bovidae,Gazella thomsoni,Eudorcas thomsonii,Horn,Packer 1983,4,8,1000,0.8,16.9,47,0.359574468,large,,N,Y,N,10,
Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra pyrenaica,Rupicapra pyrenaica,Horn,Lovari et al 2009,6,10,150,7,200,1300,0.153846154,small,,N,N,N,11,
Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus jemlahicus,Hemitragus jemlahicus,Horn,Lovari et al 2009,6,0,250,0,20,150,0.133333333,small,,N,Y,N,12,
Chordata,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus,Kobus ellipsiprymnus,Horn,Packer 1983,4,1,29,3.4,99,235,0.421276596,large,,N,Y,N,13,Estimated number injured from total sample size and percentage
Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua kirkii,Madoqua kirkii,Horn,Packer 1983,4,2,35,5.7,3,27.5,0.109090909,small,,N,N,N,14,
Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos americanus,Oreamnos americanus,Horn,Cote et al 1998,7,2,135,1.7,30,180,0.166666667,small,,N,N,N,15,Estimated number injured from total sample size and percentage; includes broken horns for both males and females
Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella,Oryx gazella,Horn,Packer 1983,4,1,6,16.7,85,240,0.354166667,large,,N,N,N,16,
Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus campestris,Raphicerus campestris,Horn,Packer 1983,4,2,18,11.1,19,95,0.2,small,,N,N,N,17,
Chordata,Mammalia,Artiodactyla,Bovidae,Redunca redunca,Redunca redunca,Horn,Packer 1983,4,0,25,0,35,135,0.259259259,small,,N,N,N,18,
Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,Syncerus caffer,Horn,Packer 1983,4,15,400,3.8,160,340,0.470588235,large,,N,Y,N,19,Estimated number injured from total sample size and percentage
Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus oryx,Tragelaphus oryx,Horn,Packer 1983,4,3,50,6,66,280,0.235714286,small,,N,Y,N,20,
Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus scriptus,Tragelaphus scriptus,Horn,Packer 1983,4,0,11,0,20,60,0.333333333,large,,N,N,N,21,
Chordata,Mammalia,Artiodactyla,Cervidae,Cervus elaphus,Cervus elaphus,Antler,Johnson et al 2005,8,92,112,82.1,71,137,0.518248175,large,,Y,Y,N,22,More common at end of breeding season
Chordata,Mammalia,Artiodactyla,Cervidae,Cervus nippon,Cervus nippon,Antler,Hayden et al 1994,9,13,52,25,15,30,0.5,large,,Y,N,N,23,More common at end of breeding season
Chordata,Mammalia,Artiodactyla,Cervidae,Dama dama,Dama dama,Antler,Jennings et al 2017,10,26,58,44.8,2,3,0.666666667,large,,Y,Y,N,24,"More common in dominant; data from mating success sheet, y = 1"
Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus reevesi,Muntiacus reevesi,Canine,Chapman 1996,11,42,83,50.6,2.9,135,0.021481481,small,,N,N,Y,25,Broken tusk; even higher rates in older males; only 49.4% of 83 males (3-5 years old) had intact tusks
Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus reevesi,Muntiacus reevesi,Canine,Pei 1996,12,12,45,26.7,2.2,135,0.016296296,small,,N,N,N,26,Damage to tusk
Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginianus,Odocoileus virginianus,Antler,Karns & Ditchkoff 2012,13,147,487,30.2,15,72,0.208333333,small,,Y,Y,N,27,
Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginianus,Odocoileus virginianus,Antler,Jin and Shipman 2010,14,32,93,34.4,15,72,0.208333333,small,,Y,Y,N,28,antlers broken transversely on main beam
Chordata,Mammalia,Cetacea,Monodontidae,Monodon monoceros,Monodon monoceros,Tusk,Porsild 1922,15,107,314,34.1,200,500,0.4,large,,N,,N,29,
Chordata,Mammalia,Cetacea,Monodontidae,Monodon monoceros,Monodon monoceros,Tusk,Silverman & Dunbar 1980,16,27,68,39.7,200,500,0.4,large,,N,,Y,30,Combined data for adult and juvenile males; Higher in adult than juvenile males
Chordata,Mammalia,Cetacea,Monodontidae,Monodon monoceros,Monodon monoceros,Tusk,Gerson and Hickie 1985,17,20,42,47.6,200,500,0.4,large,5.73,N,,Y,31,"Combined data for adult and juvenile males; Higher in adult than juvenile males; Allometric slope from Table 1, log tusk length vs log body length"
Chordata,Mammalia,Cetacea,Monodontidae,Monodon monoceros,Monodon monoceros,Tusk,Nweeia et al 2014,18,2,6,33.3,200,500,0.4,large,,N,,N,32,
Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros unicornis,Rhinoceros sondaicus,Horn,Dinerstein 1991,19,11,36,31,30,432.3,0.069396253,small,,Y,,N,33,Horn broken off
Chordata,Mammalia,Primates,Cercopithecidae,Macaca mulatta,Macaca mulatta,Canine,Kimock et al. 2022,20,4,66,6,27,532,0.05075188,small,,N,,N,34,Broken canine
Chordata,Mammalia,Primates,Cercopithecidae,Papio anubis,Papio anubis,Canine,Packer 1979,21,1,20,5,2,27,0.074074074,small,,N,,N,35,Large section chipped off after intense fight; paper did not report sample size of other types of wear
Chordata,Mammalia,Primates,Cercopithecidae,Papio cynocephalus,Papio cynocephalus,Canine,Galbany et al 2015,22,17,63,27,3.4,84,0.04047619,small,,N,,N,36,Broken or blunt upper canine; Estimated number injured from total sample size and percentage
Chordata,Mammalia,Proboscidea,Elephantidae,Elephas maximus,Elephas maximus,Tusk,Chelliah and Sukumar 2013,23,3,82,3.7,6,21,0.285714286,small,,N,,N,37,
Arthropoda,Insecta,Coleoptera,Brentidae,Lasiorhynchus barbicornis,Lasiorhynchus barbicornis,Rostrum,Painting and Holwell 2013,24,0,987,0,40,90,0.444444444,large,,N,,N,38,Contacted author 8 May 2024; never seen a male with broken/injured rostrum
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Augosoma centaurus,Augosoma centaurus,Horn,McCullough et al 2015,25,6,89,6.7,32.5,62.1,0.523349436,large,3.18,N,,N,39,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chalcosoma atlas,Chalcosoma atlas,Horn,McCullough et al 2015,25,3,45,6.7,45.7,71.9,0.635605007,large,1.95,N,,Y,40,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Coelosis bicornis,Coelosis bicornis,Horn,McCullough et al 2015,25,0,47,0,13.5,33.44,0.403708134,large,1.5,N,,N,41,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cyclommatus mniszechi,Cyclommatus mniszechi,Mandible,Chen et al 2022,26,0,114,0,19.4,37.2,0.521505376,large,,N,,N,42,Percentage not recorded in paper but contacted authors in August 2023; they never saw individuals with broken mandibles; allometric slope from Chen et al. 2020 is 2.89 ± 0.10
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dicronocephalus wallichii,Dicronocephalus wallichi,Horn,Kojima & Lin 2017,27,0,245,0,14.1,33.8,0.417159763,large,2.43,N,,N,43,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Diloboderus abderus,Diloboderus abderus,Horn,McCullough et al 2015,25,4,114,3.5,15.6,29.07,0.536635707,large,2.66,N,,N,44,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dynastes granti,Dynastes granti,Horn,McCullough et al 2015,25,9,164,5.5,19.8,49.04,0.403752039,large,1.99,N,,N,45,Broken horns
